Plot 3 2021-06-28T151158668.fcf

,,,,El1.Average,El2.Average,El3.Average
Emissivity,,,,0.30000001192092896,0.30000001192092896,0.30000001192092896
Distance,,,,0.30000001192092896,0.30000001192092896,0.30000001192092896
Reflected temperature,,,,22.9999942779541,22.9999942779541,22.9999942779541
Location X,,,,148,250,351
Location Y,,,,242,244,245
Size X,,,,19,17,17
Size Y,,,,14,14,12
Surface (pixels),,,,199,175,151

Date,Time,Milliseconds,Relative time,El1.Average,El2.Average,El3.Average
28/06/2021,15:12:09,000,10.56,163.638739274375,161.338061959403,161.3730149427
28/06/2021,15:12:09,160,10.72,163.654050970796,161.246278337751,161.354321006118
28/06/2021,15:12:09,320,10.88,163.671839498395,161.303352137974,161.230894884526
28/06/2021,15:12:09,480,11.04,163.676248444984,161.320043247768,161.316714962587
28/06/2021,15:12:09,640,11.2,163.74945252385,161.305203683036,161.292468241508
28/06/2021,15:12:09,800,11.36,163.727951816578,161.351367274693,161.384493594138
28/06/2021,15:12:09,960,11.52,163.771463212056,161.429021083287,161.392815798324
28/06/2021,15:12:10,120,11.68,163.72808653865,161.322313058036,161.382754294288
28/06/2021,15:12:10,280,11.84,163.699295427332,161.251075003488,161.240396562791
28/06/2021,15:12:10,440,12,163.614730681606,161.230756835938,161.222580966571
28/06/2021,15:12:10,600,12.16,163.61957546215,161.269768938337,161.253539735908
28/06/2021,15:12:10,760,12.32,163.672538335599,161.229160069057,161.259210750757
28/06/2021,15:12:10,920,12.48,163.655127827247,161.196962890625,161.210373430063
28/06/2021,15:12:11,080,12.64,163.672107869057,161.238036499023,161.207754981439
28/06/2021,15:12:11,240,12.8,163.658296671345,161.265670340402,161.119713486425
28/06/2021,15:12:11,400,12.96,163.591876312716,161.242716761998,161.250534663927
28/06/2021,15:12:11,560,13.12,163.677251384486,161.257732020787,161.249248277273
28/06/2021,15:12:11,720,13.28,163.610438437917,161.096114850725,161.162922031832
28/06/2021,15:12:11,880,13.44,163.830943582046,161.430307878767,161.469138240183
28/06/2021,15:12:12,040,13.6,163.923622169686,161.366484287807,161.423598636855
28/06/2021,15:12:12,200,13.76,163.852622870824,161.330777587891,161.37150482784
28/06/2021,15:12:12,360,13.92,163.875864536918,161.425136369978,161.382818765198
28/06/2021,15:12:12,520,14.08,163.899974880506,161.44834664481,161.353044320416
28/06/2021,15:12:12,680,14.24,163.923643946049,161.389204799107,161.480136391343
28/06/2021,15:12:12,840,14.4,163.980684520012,161.45053754534,161.409948487945
28/06/2021,15:12:13,000,14.56,163.797276405833,161.260707571847,161.1959284094
28/06/2021,15:12:13,160,14.72,163.892099428416,161.361999686105,161.371851131616
28/06/2021,15:12:13,320,14.88,163.868279155175,161.338642752511,161.346640984744
28/06/2021,15:12:13,480,15.04,163.94244921507,161.362538975307,161.391107016052
28/06/2021,15:12:13,640,15.2,163.965820235823,161.486071341378,161.495184588906
28/06/2021,15:12:13,800,15.36,163.969974920378,161.267064034598,161.280671984944
28/06/2021,15:12:13,960,15.52,163.831352962321,161.185209437779,161.277503209398
28/06/2021,15:12:14,120,15.68,163.70907347406,161.188685128348,161.15193267216
28/06/2021,15:12:14,280,15.84,163.720591942869,161.185264020647,161.279145701832
28/06/2021,15:12:14,440,16,163.847975611088,161.255533621652,161.339127698481
28/06/2021,15:12:14,600,16.16,163.801629761356,161.229741995675,161.287700728865
28/06/2021,15:12:14,760,16.32,163.898414113414,161.317492414202,161.306064833079
28/06/2021,15:12:14,920,16.48,163.998605392686,161.449697004046,161.36993529465
28/06/2021,15:12:15,080,16.64,163.81612660777,161.196130371094,161.24811963214
28/06/2021,15:12:15,240,16.8,163.818963439021,161.284600917271,161.22721610164
28/06/2021,15:12:15,400,16.96,163.69154219891,161.288930053711,161.184674496682
28/06/2021,15:12:15,560,17.12,163.722509796296,161.233820277623,161.086161632412
28/06/2021,15:12:15,720,17.28,163.736135664897,160.977972848075,161.060148024401
28/06/2021,15:12:15,880,17.44,163.786753975566,161.07025163923,161.104475311886
28/06/2021,15:12:16,040,17.6,163.823353676341,161.157905970982,161.010116375045
28/06/2021,15:12:16,200,17.76,163.779450613051,161.085098440988,161.140116811588
28/06/2021,15:12:16,360,17.92,163.803994106887,161.114328090123,161.179273188509
28/06/2021,15:12:16,520,18.08,163.675383524679,161.10443472726,161.052450319
28/06/2021,15:12:16,680,18.24,163.860450782968,161.261561889648,161.172123586895
28/06/2021,15:12:16,840,18.4,163.791479906245,161.181015625,161.158458785505
28/06/2021,15:12:17,000,18.56,163.766693115234,161.102639160156,161.110803970438
28/06/2021,15:12:17,160,18.72,163.861966463789,161.176854248047,161.110531232215
28/06/2021,15:12:17,320,18.88,163.839038561337,161.196163242885,161.232399643652
28/06/2021,15:12:17,480,19.04,163.747165009005,161.061544886998,161.073962685288
28/06/2021,15:12:17,640,19.2,163.92263027172,161.021258806501,161.039542090814
28/06/2021,15:12:17,800,19.36,163.790428660024,161.155759364537,161.075783634817
28/06/2021,15:12:17,960,19.52,163.904426613046,161.171077183315,161.216496751798
28/06/2021,15:12:18,120,19.68,163.934527219839,161.159362880162,161.095475455783
28/06/2021,15:12:18,280,19.84,163.883126647029,161.101441214425,161.09265793554
28/06/2021,15:12:18,440,20,163.847871253239,161.097036132812,161.175730724208
28/06/2021,15:12:18,600,20.16,163.79601828417,161.064156145368,161.224828555884
28/06/2021,15:12:18,760,20.32,163.785837604772,161.157927682059,160.995778974318
28/06/2021,15:12:18,920,20.48,163.876691962007,161.006363002232,161.082809751397
28/06/2021,15:12:19,080,20.64,163.820572129446,161.076276157924,161.001823677922
28/06/2021,15:12:19,240,20.8,163.827975632557,161.024668143136,161.054884853742
28/06/2021,15:12:19,400,20.96,163.773405218843,160.926717442104,161.153969164716
28/06/2021,15:12:19,560,21.12,163.699501459323,160.863919503348,160.886343343368
28/06/2021,15:12:19,720,21.28,163.819431477456,161.009335152762,161.114836231762
28/06/2021,15:12:19,880,21.44,163.683389328233,160.966351405552,161.019293374573
28/06/2021,15:12:20,040,21.6,163.69217501693,160.92325945173,161.033583584211
28/06/2021,15:12:20,200,21.76,163.78070827465,160.925988507952,160.883717012721
28/06/2021,15:12:20,360,21.92,163.807874900013,160.911449236189,161.001742432449
28/06/2021,15:12:20,520,22.08,163.919118526593,161.021394391741,161.066086017533
28/06/2021,15:12:20,680,22.24,163.795555383117,160.923800136021,160.946055835446
28/06/2021,15:12:20,840,22.4,163.894303978388,161.118767613002,161.155344577815
28/06/2021,15:12:21,000,22.56,163.747381929177,160.925566319057,160.983319819368
28/06/2021,15:12:21,160,22.72,163.717905859252,160.9208984375,160.909307517753
28/06/2021,15:12:21,320,22.88,163.759745152152,160.957821306501,160.947328479085
28/06/2021,15:12:21,480,23.04,163.723490499372,160.835248849051,160.846178673751
28/06/2021,15:12:21,640,23.2,163.79352887791,160.946667742048,160.994236522952
28/06/2021,15:12:21,800,23.36,163.500940600831,160.665568934849,160.826029796474
28/06/2021,15:12:21,960,23.52,163.51708294279,160.689847586496,160.699393670291
28/06/2021,15:12:22,120,23.68,163.527923737339,160.734392700195,160.695820385257
28/06/2021,15:12:22,280,23.84,163.47487176483,160.637693307059,160.679278241088
28/06/2021,15:12:22,440,24,163.46909688825,160.534032592773,160.609052241243
28/06/2021,15:12:22,600,24.16,163.462105909185,160.569748011998,160.575929048046
28/06/2021,15:12:22,760,24.32,163.651450152373,160.671980678013,160.630594417749
28/06/2021,15:12:22,920,24.48,163.410729413056,160.479273507254,160.595576810521
28/06/2021,15:12:23,080,24.64,163.490774720158,160.513182721819,160.64685331433
